FIPS Code,Place Name,Place Type
1,ALABAMA,State
2,ALASKA,State
4,ARIZONA,State
5,ARKANSAS,State
6,CALIFORNIA,State
8,COLORADO,State
9,CONNECTICUT,State
10,DELAWARE,State
11,DISTRICT OF COLUMBIA,State
12,FLORIDA,State
13,GEORGIA,State
15,HAWAII,State
16,IDAHO,State
17,ILLINOIS,State
18,INDIANA,State
19,IOWA,State
20,KANSAS,State
21,KENTUCKY,State
22,LOUISIANA,State
23,MAINE,State
24,MARYLAND,State
25,MASSACHUSETTS,State
26,MICHIGAN,State
27,MINNESOTA,State
28,MISSISSIPPI,State
29,MISSOURI,State
30,MONTANA,State
31,NEBRASKA,State
32,NEVADA,State
33,NEW HAMPSHIRE,State
34,NEW JERSEY,State
35,NEW MEXICO,State
36,NEW YORK,State
37,NORTH CAROLINA,State
38,NORTH DAKOTA,State
39,OHIO,State
40,OKLAHOMA,State
41,OREGON,State
42,PENNSYLVANIA,State
44,RHODE ISLAND,State
45,SOUTH CAROLINA,State
46,SOUTH DAKOTA,State
47,TENNESSEE,State
48,TEXAS,State
49,UTAH,State
50,VERMONT,State
51,VIRGINIA,State
53,WASHINGTON,State
54,WEST VIRGINIA,State
55,WISCONSIN,State
56,WYOMING,State
1000,Alabama,County
1001,Autauga County,County
1003,Baldwin County,County
1005,Barbour County,County
1007,Bibb County,County
1009,Blount County,County
1011,Bullock County,County
1013,Butler County,County
1015,Calhoun County,County
1017,Chambers County,County
1019,Cherokee County,County
1021,Chilton County,County
1023,Choctaw County,County
1025,Clarke County,County
1027,Clay County,County
1029,Cleburne County,County
1031,Coffee County,County
1033,Colbert County,County
1035,Conecuh County,County
1037,Coosa County,County
1039,Covington County,County
1041,Crenshaw County,County
1043,Cullman County,County
1045,Dale County,County
1047,Dallas County,County
1049,DeKalb County,County
1051,Elmore County,County
1053,Escambia County,County
1055,Etowah County,County
1057,Fayette County,County
1059,Franklin County,County
1061,Geneva County,County
1063,Greene County,County
1065,Hale County,County
1067,Henry County,County
1069,Houston County,County
1071,Jackson County,County
1073,Jefferson County,County
1075,Lamar County,County
1077,Lauderdale County,County
1079,Lawrence County,County
1081,Lee County,County
