COUSUBFP,NAMELSAD,Place Name,Label
61522,Prairie township,Shelby County,
63615,Richland township,Shelby County,
63836,Ridge township,Shelby County,
65637,Rose township,Shelby County,
66313,Rural township,Shelby County,
55119,Oblong township,Crawford County,
61470,Prairie township,Crawford County,
47202,Martin township,Crawford County,
69199,Shelbyville township,Shelby County,
69927,Sigel township,Shelby County,
75861,Tower Hill township,Shelby County,
47124,Marrowbone township,Moultrie County,
92605,Precinct 12,Monroe County,
45057,Lovington township,Moultrie County,
59013,Peoria City township,Peoria County,
81451,Whitley township,Moultrie County,
2928,Auburn township,Sangamon County,In the Pipeline
3506,Ball township,Sangamon County,In the Pipeline
9486,Buffalo Hart township,Sangamon County,In the Pipeline
11046,Capital township,Sangamon County,In the Pipeline
11579,Cartwright township,Sangamon County,In the Pipeline
12697,Chatham township,Sangamon County,In the Pipeline
16223,Cooper township,Sangamon County,
41976,Lanesville township,Sangamon County,In the Pipeline
20058,Divernon township,Sangamon County,In the Pipeline
37881,Island Grove township,Sangamon County,In the Pipeline
44186,Loami township,Sangamon County,In the Pipeline
47618,Maxwell township,Sangamon County,In the Pipeline
48034,Mechanicsburg township,Sangamon County,In the Pipeline
52181,New Berlin township,Sangamon County,In the Pipeline
72013,Springfield township,Sangamon County,In the Pipeline
74340,Talkington township,Sangamon County,In the Pipeline
81776,Williams township,Sangamon County,In the Pipeline
83310,Woodside township,Sangamon County,In the Pipeline
37140,Illiopolis township,Sangamon County,In the Pipeline
64772,Rochester township,Sangamon County,In the Pipeline
60898,Point Pleasant township,Warren County,
73716,Sumner township,Warren County,
75692,Tompkins township,Warren County,
6145,Bishop township,Effingham County,
20474,Douglas township,Effingham County,
38063,Jackson township,Effingham County,
45161,Lucas township,Effingham County,
47462,Mason township,Effingham County,
49763,Moccasin township,Effingham County,
50725,Mound township,Effingham County,
66807,St. Francis township,Effingham County,
73651,Summit township,Effingham County,
74756,Teutopolis township,Effingham County,
76654,Union township,Effingham County,
79254,Watson township,Effingham County,
39012,Kansas township,Woodford County,
43159,Liberty township,Effingham County,
15144,Clyde township,Whiteside County,In the Pipeline
38700,Jordan township,Whiteside County,In the Pipeline
12463,Chandlerville township,Cass County,
67600,Sangamon Valley township,Cass County,
67652,Santa Fe township,Clinton County,
11696,Cass township,Fulton County,
72773,Stockland township,Iroquois County,
17653,Crooked Creek township,Jasper County,
65494,Roodhouse township,Greene County,
21306,Durham township,Hancock County,
66235,Rubicon township,Greene County,
10968,Canteen township,St. Clair County,
