STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type,Label
17,173,Prairie township,61522,Shelby County,County,None
17,173,Richland township,63615,Shelby County,County,None
17,173,Ridge township,63836,Shelby County,County,None
17,173,Rose township,65637,Shelby County,County,None
17,173,Rural township,66313,Shelby County,County,None
17,33,Oblong township,55119,Crawford County,County,None
17,33,Prairie township,61470,Crawford County,County,None
17,33,Martin township,47202,Crawford County,County,None
17,173,Shelbyville township,69199,Shelby County,County,None
17,173,Sigel township,69927,Shelby County,County,None
17,173,Tower Hill township,75861,Shelby County,County,None
17,139,Marrowbone township,47124,Moultrie County,County,None
17,133,Precinct 12,92605,Monroe County,County,None
17,139,Lovington township,45057,Moultrie County,County,None
17,143,Peoria City township,59013,Peoria County,County,None
17,139,Whitley township,81451,Moultrie County,County,None
17,167,Auburn township,2928,Sangamon County,County,In the Pipeline
17,167,Ball township,3506,Sangamon County,County,In the Pipeline
17,167,Buffalo Hart township,9486,Sangamon County,County,In the Pipeline
17,167,Capital township,11046,Sangamon County,County,In the Pipeline
17,167,Cartwright township,11579,Sangamon County,County,In the Pipeline
17,167,Chatham township,12697,Sangamon County,County,In the Pipeline
17,167,Cooper township,16223,Sangamon County,County,None
17,167,Lanesville township,41976,Sangamon County,County,In the Pipeline
17,167,Divernon township,20058,Sangamon County,County,In the Pipeline
17,167,Island Grove township,37881,Sangamon County,County,None
17,167,Loami township,44186,Sangamon County,County,In the Pipeline
17,167,Maxwell township,47618,Sangamon County,County,In the Pipeline
17,167,Mechanicsburg township,48034,Sangamon County,County,In the Pipeline
17,167,New Berlin township,52181,Sangamon County,County,In the Pipeline
17,167,Springfield township,72013,Sangamon County,County,None
17,167,Talkington township,74340,Sangamon County,County,In the Pipeline
17,167,Williams township,81776,Sangamon County,County,In the Pipeline
17,167,Woodside township,83310,Sangamon County,County,None
17,167,Illiopolis township,37140,Sangamon County,County,None
17,167,Rochester township,64772,Sangamon County,County,In the Pipeline
17,187,Point Pleasant township,60898,Warren County,County,None
17,187,Sumner township,73716,Warren County,County,None
17,187,Tompkins township,75692,Warren County,County,None
17,49,Bishop township,6145,Effingham County,County,None
17,49,Douglas township,20474,Effingham County,County,None
17,49,Jackson township,38063,Effingham County,County,None
17,49,Lucas township,45161,Effingham County,County,None
17,49,Mason township,47462,Effingham County,County,None
17,49,Moccasin township,49763,Effingham County,County,None
17,49,Mound township,50725,Effingham County,County,None
17,49,St. Francis township,66807,Effingham County,County,None
17,49,Summit township,73651,Effingham County,County,None
17,49,Teutopolis township,74756,Effingham County,County,None
17,49,Union township,76654,Effingham County,County,None
17,49,Watson township,79254,Effingham County,County,None
17,203,Kansas township,39012,Woodford County,County,None
17,49,Liberty township,43159,Effingham County,County,None
17,195,Clyde township,15144,Whiteside County,County,In the Pipeline
17,195,Jordan township,38700,Whiteside County,County,In the Pipeline
