County,Township,Label,COUSUBFP
Shelby County,Prairie township,,61522
Crawford County,Prairie township,,61470
Hancock County,Prairie township,,61496
Edgar County,Prairie township,,61483
Shelby County,Richland township,,63615
La Salle County,Richland township,,63576
Marshall County,Richland township,,63589
Shelby County,Ridge township,,63836
Shelby County,Rose township,,65637
Shelby County,Rural township,,66313
Rock Island County,Rural township,,66300
Crawford County,Oblong township,,55119
Shelby County,Prairie township,,61522
Crawford County,Prairie township,,61470
Hancock County,Prairie township,,61496
Edgar County,Prairie township,,61483
Crawford County,Martin township,,47202
McLean County,Martin township,,47215
Shelby County,Shelbyville township,,69199
Shelby County,Sigel township,,69927
Shelby County,Tower Hill township,,75861
Moultrie County,Marrowbone township,,47124
Monroe County,Precinct 12,,92605
Moultrie County,Lovington township,,45057
Peoria County,Peoria City township,,59013
Moultrie County,Whitley township,,81451
Sangamon County,Auburn township,,02928
Clark County,Auburn township,,02908
Sangamon County,Ball township,,03506
Sangamon County,Buffalo Hart township,,09486
Sangamon County,Capital township,,11046
Sangamon County,Cartwright township,,11579
Sangamon County,Chatham township,,12697
Sangamon County,Cooper township,,16223
Sangamon County,Lanesville township,,41976
Sangamon County,Divernon township,,20058
Sangamon County,Island Grove township,,37881
Sangamon County,Loami township,,44186
Sangamon County,Maxwell township,,47618
Sangamon County,Mechanicsburg township,,48034
Sangamon County,New Berlin township,,52181
Sangamon County,Springfield township,,72013
Sangamon County,Talkington township,,74340
Sangamon County,Williams township,,81776
Sangamon County,Woodside township,,83310
Sangamon County,Illiopolis township,,37140
Sangamon County,Rochester township,,64772
Warren County,Point Pleasant township,,60898
Warren County,Sumner township,,73716
Kankakee County,Sumner township,,73690
Warren County,Tompkins township,,75692
Effingham County,Bishop township,,06145
Effingham County,Douglas township,,20474
Clark County,Douglas township,,20461
Iroquois County,Douglas township,,20487
Effingham County,Jackson township,,38063
Will County,Jackson township,,38076
Effingham County,Lucas township,,45161
Effingham County,Mason township,,47462
Effingham County,Moccasin township,,49763
Effingham County,Mound township,,50725
McDonough County,Mound township,,50738
Effingham County,St. Francis township,,66807
Effingham County,Summit township,,73651
Effingham County,Teutopolis township,,74756
Effingham County,Union township,,76654
Cumberland County,Union township,,76641
Livingston County,Union township,,76680
Fulton County,Union township,,76667
Effingham County,Watson township,,79254
Woodford County,Kansas township,,39012
Edgar County,Kansas township,,38999
Effingham County,Liberty township,,43159
Adams County,Liberty township,,43146
Whiteside County,Clyde township,,15144
Whiteside County,Jordan township,,38700
Cass County,Chandlerville township,,12463
Cass County,Sangamon Valley township,,67600
Clinton County,Santa Fe township,,67652
Fulton County,Cass township,,11696
Iroquois County,Stockland township,,72773
Jasper County,Crooked Creek township,,17653
Cumberland County,Crooked Creek township,,17640
Greene County,Roodhouse township,,65494
Hancock County,Durham township,,21306
Greene County,Rubicon township,,66235
St. Clair County,Canteen township,,10968
St. Clair County,Engelmann township,,24205
St. Clair County,Freeburg township,,27819
St. Clair County,Lebanon township,,42509
Greene County,Wrights township,,83583
St. Clair County,Marissa township,,46968
Massac County,Washington precinct,,93618
Brown County,Lee township,,42561
Fulton County,Lee township,,42574
Brown County,Missouri township,,49685
Brown County,Mount Sterling township,,51167
Clark County,Darwin township,,18680
Mercer County,Mercer township,,48398
Mercer County,Millersburg township,,49256
Mercer County,New Boston township,,52233
Mercer County,Ohio Grove township,,55405
Mercer County,Perryton township,,59182
Mercer County,Preemption township,,61795
Brown County,Pea Ridge township,,58330
Brown County,Versailles township,,77733
Warren County,Berwick township,,05560
Clark County,Dolson township,,20279
Clark County,Johnson township,,38505
Christian County,Johnson township,,38492
Clark County,Marshall township,,47176
Clark County,Martinsville township,,47267
Hancock County,Bear Creek township,,04338
Christian County,Bear Creek township,,04325
Hancock County,Hancock township,,32629
Shelby County,Prairie township,,61522
Crawford County,Prairie township,,61470
