NAMELSAD,COUSUBFP
Prairie township,61522
Richland township,63615
Ridge township,63836
Rose township,65637
Rural township,66313
Oblong township,55119
Prairie township,61470
Martin township,47202
Shelbyville township,69199
Sigel township,69927
Tower Hill township,75861
Marrowbone township,47124
Precinct 12,92605
Lovington township,45057
Peoria City township,59013
Whitley township,81451
Auburn township,02928
Ball township,03506
Buffalo Hart township,09486
Capital township,11046
Cartwright township,11579
Chatham township,12697
Cooper township,16223
Lanesville township,41976
Divernon township,20058
Island Grove township,37881
Loami township,44186
Maxwell township,47618
Mechanicsburg township,48034
New Berlin township,52181
Springfield township,72013
Talkington township,74340
Williams township,81776
Woodside township,83310
Illiopolis township,37140
Rochester township,64772
Point Pleasant township,60898
Sumner township,73716
Tompkins township,75692
Bishop township,06145
Douglas township,20474
Jackson township,38063
Lucas township,45161
Mason township,47462
Moccasin township,49763
Mound township,50725
St. Francis township,66807
Summit township,73651
Teutopolis township,74756
Union township,76654
Watson township,79254
Kansas township,39012
Liberty township,43159
Clyde township,15144
Jordan township,38700
Chandlerville township,12463
Sangamon Valley township,67600
Santa Fe township,67652
Cass township,11696
Stockland township,72773
Crooked Creek township,17653
Roodhouse township,65494
Durham township,21306
Rubicon township,66235
Canteen township,10968
Engelmann township,24205
Freeburg township,27819
Lebanon township,42509
Wrights township,83583
Marissa township,46968
Washington precinct,93618
Lee township,42561
Missouri township,49685
Mount Sterling township,51167
Darwin township,18680
Mercer township,48398
Millersburg township,49256
New Boston township,52233
Ohio Grove township,55405
Perryton township,59182
Preemption township,61795
Pea Ridge township,58330
Versailles township,77733
Berwick township,05560
Dolson township,20279
Johnson township,38505
Marshall township,47176
Martinsville township,47267
Bear Creek township,04338
Hancock township,32629
Prairie township,61496
St. Albans township,66612
Walker township,78422
Wythe township,83713
La Harpe township,40845
Walsh precinct,93600
Frankfort township,27611
Humboldt township,36555
Lafayette township,40637
Mattoon township,47566
North Okaw township,54014
Brenton township,07978
New Athens township,52129
Prairie Du Long township,61600
Lenzburg township,42873
East St. Louis township,22268
Button township,10214
Dix township,20110
Mona township,49919
Patton township,58122
Metropolis No. 4 precinct,92124
Bell Plain township,04949
Carbondale township,11170
Degognia township,19148
Makanda township,46227
Barren township,03818
Rivoli township,64551
Suez township,73339
Richland Grove township,63628
St. Rose township,67171
Shields township,69485
Wauconda township,79280
Waukegan township,79306
West Deerfield township,80112
County subdivisions not defined,00000
Fremont township,27923
Louisville township,44940
Paradise township,57615
Melrose township,48229
Parker township,57667
Wabash township,78279
York township,83934
Seven Hickory township,68718
Bone Gap precinct,90486
Ellery precinct,91152
Salem No. 2 precinct,93084
Peach Orchard township,58317
Pella township,58512
Rogers township,65273
Sullivant township,73521
Wall township,78474
Ewing township,24686
Six Mile township,70070
Cave township,11813
Antioch township,01608
Avon township,03220
Cuba township,18004
Grant township,30952
Ruyle township,66482
Kendall township,39454
Oswego township,56900
Breese township,07926
Brookside township,08732
East Fork township,21748
Irishtown township,37673
Salina township,67262
Yellowhead township,83856
Grisham township,31836
Harvel township,33370
Assumption township,02622
Bear Creek township,04325
Lake Villa township,41599
Buckhart township,09239
Greenwood township,31641
Athens North No. 2 precinct,90256
Athens South No. 1 precinct,90262
Libertyville township,43263
Newport township,52753
Browning township,08940
Wade township,78344
Wheatfield township,80996
Germantown township,29054
Looking Glass township,44667
Carrollton township,11475
Patterson township,58096
Woodville township,83401
Dixon precinct,90954
Shelby No. 1 precinct,93153
Hillsboro township,35060
Pitman township,60183
South Litchfield township,70928
Walshville township,78669
Benton township,05326
Ela township,22853
Johnson township,38492
Mosquito township,50686
Pana township,57485
Prairieton township,61730
Ricks township,63797
Atterberry No. 10 precinct,90270
Atlanta township,02765
Broadwell township,08485
Arispie township,02076
Berlin township,05430
Bureau township,09668
Clarion township,14598
Witt township,82738
Zanesville township,84129
Bois D'Arc township,07107
Irving township,37751
Rountree township,66092
Eddyville No. 6 precinct,91116
Beaver Creek township,04481
Du Quoin No. 3 precinct,91012
Du Quoin No. 4 precinct,91013
Du Quoin No. 5 precinct,91014
Du Quoin No. 6 precinct,91015
Drummer township,20799
Chester township,13126
Corwin township,16496
Eminence township,24049
Laenna township,40624
Rosamond township,65598
South Fork township,70798
Taylorville township,74587
King township,39948
Petersburg East No. 13 precinct,92433
Petersburg North No. 14 precinct,92436
Cazenovia township,11878
Concord township,16028
Dover township,20539
Greenville township,31602
Petersburg South No. 15 precinct,92439
Rock Creek No. 12 precinct,93024
Alton township,01127
Edwardsville township,22710
Granite City township,30939
Jarvis township,38245
Golconda No. 1 precinct,91386
Golconda No. 3 precinct,91422
Webster No. 5 precinct,93654
Greene township,31355
Linn township,43835
Metamora township,48619
Minonk township,49581
Montgomery township,50231
Olio township,55821
Pinckneyville No. 3 precinct,92470
Du Quoin No. 7 precinct,91016
McLeansboro township,45837
South Crouch township,70655
Du Quoin No. 9 precinct,91018
Du Quoin No. 10 precinct,91019
Du Quoin No. 11 precinct,91020
Appanoose township,01621
Albion No. 1 precinct,90039
Albion No. 2 precinct,90041
Albion No. 3 precinct,90044
Lake Fork township,41144
Mount Pulaski township,51141
Sheridan township,69290
Indiantown township,37413
La Moille township,41807
Leepertown township,42665
Milo township,49438
Augusta township,02999
Chili township,14104
Du Quoin No. 1 precinct,91010
Swanwick precinct,93348
Willisville precinct,93762
Du Quoin No. 12 precinct,91021
Princeton township,61912
South Twigg township,71305
Twigg township,76472
Pinckneyville No. 1 precinct,92468
Pinckneyville No. 2 precinct,92469
Plato township,60365
Rutland township,66430
Sugar Grove township,73404
