STATEFP,COUNTYFP,NAMELSAD,COUSUBFP
17,173,Prairie township,61522
17,173,Richland township,63615
17,173,Ridge township,63836
17,173,Rose township,65637
17,173,Rural township,66313
17,033,Oblong township,55119
17,033,Prairie township,61470
17,033,Martin township,47202
17,173,Shelbyville township,69199
17,173,Sigel township,69927
17,173,Tower Hill township,75861
17,139,Marrowbone township,47124
17,133,Precinct 12,92605
17,139,Lovington township,45057
17,143,Peoria City township,59013
17,139,Whitley township,81451
17,167,Auburn township,02928
17,167,Ball township,03506
17,167,Buffalo Hart township,09486
17,167,Capital township,11046
17,167,Cartwright township,11579
17,167,Chatham township,12697
17,167,Cooper township,16223
17,167,Lanesville township,41976
17,167,Divernon township,20058
17,167,Island Grove township,37881
17,167,Loami township,44186
17,167,Maxwell township,47618
17,167,Mechanicsburg township,48034
17,167,New Berlin township,52181
17,167,Springfield township,72013
17,167,Talkington township,74340
17,167,Williams township,81776
17,167,Woodside township,83310
17,167,Illiopolis township,37140
17,167,Rochester township,64772
17,187,Point Pleasant township,60898
17,187,Sumner township,73716
17,187,Tompkins township,75692
17,049,Bishop township,06145
17,049,Douglas township,20474
17,049,Jackson township,38063
17,049,Lucas township,45161
17,049,Mason township,47462
17,049,Moccasin township,49763
17,049,Mound township,50725
17,049,St. Francis township,66807
17,049,Summit township,73651
17,049,Teutopolis township,74756
17,049,Union township,76654
17,049,Watson township,79254
17,203,Kansas township,39012
17,049,Liberty township,43159
17,195,Clyde township,15144
17,195,Jordan township,38700
17,017,Chandlerville township,12463
17,017,Sangamon Valley township,67600
17,027,Santa Fe township,67652
17,057,Cass township,11696
17,075,Stockland township,72773
17,079,Crooked Creek township,17653
17,061,Roodhouse township,65494
17,067,Durham township,21306
17,061,Rubicon township,66235
17,163,Canteen township,10968
17,163,Engelmann township,24205
17,163,Freeburg township,27819
17,163,Lebanon township,42509
17,061,Wrights township,83583
17,163,Marissa township,46968
17,127,Washington precinct,93618
17,009,Lee township,42561
17,009,Missouri township,49685
17,009,Mount Sterling township,51167
17,023,Darwin township,18680
17,131,Mercer township,48398
17,131,Millersburg township,49256
17,131,New Boston township,52233
17,131,Ohio Grove township,55405
17,131,Perryton township,59182
17,131,Preemption township,61795
17,009,Pea Ridge township,58330
17,009,Versailles township,77733
17,187,Berwick township,05560
17,023,Dolson township,20279
17,023,Johnson township,38505
17,023,Marshall township,47176
17,023,Martinsville township,47267
17,067,Bear Creek township,04338
17,067,Hancock township,32629
17,067,Prairie township,61496
17,067,St. Albans township,66612
17,067,Walker township,78422
17,067,Wythe township,83713
17,067,La Harpe township,40845
17,157,Walsh precinct,93600
17,055,Frankfort township,27611
17,029,Humboldt township,36555
17,029,Lafayette township,40637
17,029,Mattoon township,47566
17,029,North Okaw township,54014
17,053,Brenton township,07978
17,163,New Athens township,52129
17,163,Prairie Du Long township,61600
17,163,Lenzburg township,42873
17,163,East St. Louis township,22268
17,053,Button township,10214
17,053,Dix township,20110
17,053,Mona township,49919
17,053,Patton township,58122
17,127,Metropolis No. 4 precinct,92124
17,123,Bell Plain township,04949
17,077,Carbondale township,11170
17,077,Degognia township,19148
17,077,Makanda township,46227
17,055,Barren township,03818
17,131,Rivoli township,64551
17,131,Suez township,73339
17,131,Richland Grove township,63628
17,027,St. Rose township,67171
17,097,Shields township,69485
17,097,Wauconda township,79280
17,097,Waukegan township,79306
17,097,West Deerfield township,80112
17,097,County subdivisions not defined,00000
17,097,Fremont township,27923
17,025,Louisville township,44940
17,029,Paradise township,57615
17,023,Melrose township,48229
17,023,Parker township,57667
17,023,Wabash township,78279
17,023,York township,83934
17,029,Seven Hickory township,68718
17,047,Bone Gap precinct,90486
17,047,Ellery precinct,91152
17,047,Salem No. 2 precinct,93084
17,053,Peach Orchard township,58317
17,053,Pella township,58512
17,053,Rogers township,65273
17,053,Sullivant township,73521
17,053,Wall township,78474
17,055,Ewing township,24686
17,055,Six Mile township,70070
17,055,Cave township,11813
17,097,Antioch township,01608
17,097,Avon township,03220
17,097,Cuba township,18004
17,097,Grant township,30952
17,083,Ruyle township,66482
17,093,Kendall township,39454
17,093,Oswego township,56900
17,027,Breese township,07926
17,027,Brookside township,08732
17,027,East Fork township,21748
17,027,Irishtown township,37673
17,091,Salina township,67262
17,091,Yellowhead township,83856
17,135,Grisham township,31836
17,135,Harvel township,33370
17,021,Assumption township,02622
17,021,Bear Creek township,04325
17,097,Lake Villa township,41599
17,021,Buckhart township,09239
17,021,Greenwood township,31641
17,129,Athens North No. 2 precinct,90256
17,129,Athens South No. 1 precinct,90262
17,097,Libertyville township,43263
17,097,Newport township,52753
17,055,Browning township,08940
17,027,Wade township,78344
17,027,Wheatfield township,80996
17,027,Germantown township,29054
17,027,Looking Glass township,44667
17,061,Carrollton township,11475
17,061,Patterson township,58096
17,061,Woodville township,83401
17,047,Dixon precinct,90954
17,047,Shelby No. 1 precinct,93153
17,135,Hillsboro township,35060
17,135,Pitman township,60183
17,135,South Litchfield township,70928
17,135,Walshville township,78669
17,097,Benton township,05326
17,097,Ela township,22853
17,021,Johnson township,38492
17,021,Mosquito township,50686
17,021,Pana township,57485
17,021,Prairieton township,61730
17,021,Ricks township,63797
17,129,Atterberry No. 10 precinct,90270
17,107,Atlanta township,02765
17,107,Broadwell township,08485
17,011,Arispie township,02076
17,011,Berlin township,05430
17,011,Bureau township,09668
17,011,Clarion township,14598
17,135,Witt township,82738
17,135,Zanesville township,84129
17,135,Bois D'Arc township,07107
17,135,Irving township,37751
17,135,Rountree township,66092
17,151,Eddyville No. 6 precinct,91116
17,065,Beaver Creek township,04481
17,145,Du Quoin No. 3 precinct,91012
17,145,Du Quoin No. 4 precinct,91013
17,145,Du Quoin No. 5 precinct,91014
17,145,Du Quoin No. 6 precinct,91015
17,053,Drummer township,20799
17,107,Chester township,13126
17,107,Corwin township,16496
17,107,Eminence township,24049
17,107,Laenna township,40624
17,021,Rosamond township,65598
17,021,South Fork township,70798
17,021,Taylorville township,74587
17,021,King township,39948
17,129,Petersburg East No. 13 precinct,92433
17,129,Petersburg North No. 14 precinct,92436
17,203,Cazenovia township,11878
17,011,Concord township,16028
17,011,Dover township,20539
17,011,Greenville township,31602
17,129,Petersburg South No. 15 precinct,92439
17,129,Rock Creek No. 12 precinct,93024
17,119,Alton township,01127
17,119,Edwardsville township,22710
17,119,Granite City township,30939
17,119,Jarvis township,38245
17,151,Golconda No. 1 precinct,91386
17,151,Golconda No. 3 precinct,91422
17,151,Webster No. 5 precinct,93654
17,203,Greene township,31355
17,203,Linn township,43835
17,203,Metamora township,48619
17,203,Minonk township,49581
17,203,Montgomery township,50231
17,203,Olio township,55821
17,145,Pinckneyville No. 3 precinct,92470
17,145,Du Quoin No. 7 precinct,91016
17,065,McLeansboro township,45837
17,065,South Crouch township,70655
17,145,Du Quoin No. 9 precinct,91018
17,145,Du Quoin No. 10 precinct,91019
17,145,Du Quoin No. 11 precinct,91020
17,067,Appanoose township,01621
17,047,Albion No. 1 precinct,90039
17,047,Albion No. 2 precinct,90041
17,047,Albion No. 3 precinct,90044
17,107,Lake Fork township,41144
17,107,Mount Pulaski township,51141
17,107,Sheridan township,69290
17,011,Indiantown township,37413
17,011,La Moille township,41807
17,011,Leepertown township,42665
17,011,Milo township,49438
17,067,Augusta township,02999
17,067,Chili township,14104
17,145,Du Quoin No. 1 precinct,91010
17,145,Swanwick precinct,93348
17,145,Willisville precinct,93762
17,145,Du Quoin No. 12 precinct,91021
17,011,Princeton township,61912
17,065,South Twigg township,71305
17,065,Twigg township,76472
17,145,Pinckneyville No. 1 precinct,92468
17,145,Pinckneyville No. 2 precinct,92469
17,089,Plato township,60365
17,089,Rutland township,66430
17,089,Sugar Grove township,73404
17,089,Virgil township,78188
17,011,Mineral township,49529
17,011,Neponset township,52012
17,011,Ohio township,55392
17,011,Selby township,68562
17,139,Dora township,20344
17,145,Pinckneyville No. 4 precinct,92471
17,145,Pinckneyville No. 5 precinct,92472
17,145,Pinckneyville No. 6 precinct,92473
17,145,Pinckneyville No. 7 precinct,92474
17,139,East Nelson township,22099
17,139,Jonathan Creek township,38609
17,011,Walnut township,78539
17,011,Westfield township,80268
17,011,Wheatland township,81009
17,011,Wyanet township,83635
17,135,Audubon township,02960
17,135,East Fork township,21761
17,145,Tamaroa No. 2 precinct,93386
17,177,Ridott township,64057
17,071,Biggsville township,05911
17,071,Raritan township,62861
17,143,Hallock township,32304
17,107,East Lincoln township,21982
17,107,Hurlbut township,36789
17,107,Oran township,56289
17,127,Georges Creek precinct,91332
17,111,Algonquin township,00698
17,109,Lamoine township,41820
17,109,Mound township,50738
17,109,New Salem township,52792
17,149,Atlas township,02791
17,149,Barry township,03974
17,109,Prairie City township,61561
17,149,Chambersburg township,12359
17,109,Sciota township,68211
17,109,Tennessee township,74678
17,105,Waldo township,78409
17,153,Mounds precinct,92196
17,109,Walnut Grove township,78591
17,113,Blue Mound township,06743
17,113,Chenoa township,12944
17,149,Cincinnati township,14390
17,149,Derry township,19577
17,149,Detroit township,19694
17,149,Fairmount township,24972
17,149,Griggsville township,31784
17,149,Hadley township,32070
17,113,Cropsey township,17705
17,113,Danvers township,18550
17,113,Dawson township,18732
17,005,Mulberry Grove township,51297
17,005,Shoal Creek township,69641
17,043,Lisle township,43952
17,043,Milton township,49451
17,131,North Henderson township,53806
17,043,Wayne township,79410
17,043,York township,83947
17,049,Banner township,03558
17,049,West township,79891
17,123,Lacon township,40572
17,151,Golconda No. 2 precinct,91404
17,151,Jefferson No. 4 precinct,91746
17,055,Eastern township,21735
17,055,Goode township,30406
17,055,Northern township,53637
17,047,Browns precinct,90540
17,047,French Creek precinct,91296
17,047,Salem No. 1 precinct,93081
17,113,Dry Grove township,20838
17,113,Funks Grove township,28209
17,149,Hardin township,32863
17,149,Kinderhook township,39935
17,149,Newburg township,52259
17,149,New Salem township,52818
17,149,Pearl township,58356
17,149,Perry township,59169
17,141,Taylor township,74535
17,173,Clarksburg township,14637
17,173,Penn township,58590
17,173,Todds Point township,75588
17,113,Gridley township,31745
17,113,Lawndale township,42353
17,113,Lexington township,43107
17,079,Grandville township,30887
17,079,Grove township,31888
17,079,Hunt City township,36659
17,123,Roberts township,64668
17,079,North Muddy township,54001
17,079,Ste. Marie township,66803
17,197,Du Page township,21241
17,197,Manhattan township,46370
17,001,Beverly township,05742
17,001,Burton township,10019
17,129,Tallula No. 11 precinct,93366
17,159,Claremont township,14546
17,159,Decker township,18862
17,159,Denver township,19486
17,159,Noble township,53156
17,001,Camp Point township,10890
17,045,Kansas township,38999
17,149,Flint township,26415
17,039,Nixon township,53117
17,039,Waynesville township,79462
17,131,Duncan township,20968
17,113,Martin township,47215
17,113,Money Creek township,49971
17,113,Mount Hope township,50972
17,113,Old Town township,55782
17,079,South Muddy township,71084
17,079,Wade township,78357
17,131,Keithsburg township,39311
17,079,Willow Hill township,82023
17,059,Asbury township,02427
17,059,New Haven township,52519
17,169,Buena Vista township,09395
17,169,Woodstock township,83362
17,001,Columbus township,15859
17,001,Concord township,16015
17,147,Unity township,76888
17,155,Granville township,31030
17,155,Hennepin township,34124
17,001,Fall Creek township,25258
17,001,Honey Creek township,35957
17,113,Randolph township,62692
17,113,Towanda township,75835
17,113,West township,79904
17,113,White Oak township,81321
17,113,Yates township,83804
17,161,Andalusia township,01439
17,161,Blackhawk township,06301
17,161,Bowling township,07549
17,161,Buffalo Prairie township,09512
17,051,Seminary township,68601
17,051,South Hurricane township,70876
17,051,Vandalia township,77330
17,051,Avena township,03155
17,051,Bear Grove township,04377
17,051,Carson township,11501
17,051,Loudon township,44901
