STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type
17,173,Prairie township,61522,Shelby County,County
17,173,Richland township,63615,Shelby County,County
17,173,Ridge township,63836,Shelby County,County
17,173,Rose township,65637,Shelby County,County
17,173,Rural township,66313,Shelby County,County
17,033,Oblong township,55119,Crawford County,County
17,033,Prairie township,61470,Crawford County,County
17,033,Martin township,47202,Crawford County,County
17,173,Shelbyville township,69199,Shelby County,County
17,173,Sigel township,69927,Shelby County,County
17,173,Tower Hill township,75861,Shelby County,County
17,139,Marrowbone township,47124,Moultrie County,County
17,133,Precinct 12,92605,Monroe County,County
17,139,Lovington township,45057,Moultrie County,County
17,143,Peoria City township,59013,Peoria County,County
17,139,Whitley township,81451,Moultrie County,County
17,167,Auburn township,02928,Sangamon County,County
17,167,Ball township,03506,Sangamon County,County
17,167,Buffalo Hart township,09486,Sangamon County,County
17,167,Capital township,11046,Sangamon County,County
17,167,Cartwright township,11579,Sangamon County,County
17,167,Chatham township,12697,Sangamon County,County
17,167,Cooper township,16223,Sangamon County,County
17,167,Lanesville township,41976,Sangamon County,County
17,167,Divernon township,20058,Sangamon County,County
17,167,Island Grove township,37881,Sangamon County,County
17,167,Loami township,44186,Sangamon County,County
17,167,Maxwell township,47618,Sangamon County,County
17,167,Mechanicsburg township,48034,Sangamon County,County
17,167,New Berlin township,52181,Sangamon County,County
17,167,Springfield township,72013,Sangamon County,County
17,167,Talkington township,74340,Sangamon County,County
17,167,Williams township,81776,Sangamon County,County
17,167,Woodside township,83310,Sangamon County,County
17,167,Illiopolis township,37140,Sangamon County,County
17,167,Rochester township,64772,Sangamon County,County
17,187,Point Pleasant township,60898,Warren County,County
17,187,Sumner township,73716,Warren County,County
17,187,Tompkins township,75692,Warren County,County
17,049,Bishop township,06145,Effingham County,County
17,049,Douglas township,20474,Effingham County,County
17,049,Jackson township,38063,Effingham County,County
17,049,Lucas township,45161,Effingham County,County
17,049,Mason township,47462,Effingham County,County
17,049,Moccasin township,49763,Effingham County,County
17,049,Mound township,50725,Effingham County,County
17,049,St. Francis township,66807,Effingham County,County
17,049,Summit township,73651,Effingham County,County
17,049,Teutopolis township,74756,Effingham County,County
17,049,Union township,76654,Effingham County,County
17,049,Watson township,79254,Effingham County,County
17,203,Kansas township,39012,Woodford County,County
17,049,Liberty township,43159,Effingham County,County
17,195,Clyde township,15144,Whiteside County,County
17,195,Jordan township,38700,Whiteside County,County
17,017,Chandlerville township,12463,Cass County,County
17,017,Sangamon Valley township,67600,Cass County,County
17,027,Santa Fe township,67652,Clinton County,County
17,057,Cass township,11696,Fulton County,County
17,075,Stockland township,72773,Iroquois County,County
17,079,Crooked Creek township,17653,Jasper County,County
17,061,Roodhouse township,65494,Greene County,County
17,067,Durham township,21306,Hancock County,County
17,061,Rubicon township,66235,Greene County,County
17,163,Canteen township,10968,St. Clair County,County
17,163,Engelmann township,24205,St. Clair County,County
17,163,Freeburg township,27819,St. Clair County,County
17,163,Lebanon township,42509,St. Clair County,County
17,061,Wrights township,83583,Greene County,County
17,163,Marissa township,46968,St. Clair County,County
17,127,Washington precinct,93618,Massac County,County
17,009,Lee township,42561,Brown County,County
17,009,Missouri township,49685,Brown County,County
17,009,Mount Sterling township,51167,Brown County,County
17,023,Darwin township,18680,Clark County,County
17,131,Mercer township,48398,Mercer County,County
17,131,Millersburg township,49256,Mercer County,County
17,131,New Boston township,52233,Mercer County,County
17,131,Ohio Grove township,55405,Mercer County,County
17,131,Perryton township,59182,Mercer County,County
17,131,Preemption township,61795,Mercer County,County
17,009,Pea Ridge township,58330,Brown County,County
17,009,Versailles township,77733,Brown County,County
17,187,Berwick township,05560,Warren County,County
17,023,Dolson township,20279,Clark County,County
17,023,Johnson township,38505,Clark County,County
17,023,Marshall township,47176,Clark County,County
17,023,Martinsville township,47267,Clark County,County
17,067,Bear Creek township,04338,Hancock County,County
17,067,Hancock township,32629,Hancock County,County
17,067,Prairie township,61496,Hancock County,County
17,067,St. Albans township,66612,Hancock County,County
17,067,Walker township,78422,Hancock County,County
17,067,Wythe township,83713,Hancock County,County
17,067,La Harpe township,40845,Hancock County,County
17,157,Walsh precinct,93600,Randolph County,County
17,055,Frankfort township,27611,Franklin County,County
17,029,Humboldt township,36555,Coles County,County
17,029,Lafayette township,40637,Coles County,County
17,029,Mattoon township,47566,Coles County,County
17,029,North Okaw township,54014,Coles County,County
17,053,Brenton township,07978,Ford County,County
17,163,New Athens township,52129,St. Clair County,County
17,163,Prairie Du Long township,61600,St. Clair County,County
17,163,Lenzburg township,42873,St. Clair County,County
17,163,East St. Louis township,22268,St. Clair County,County
17,053,Button township,10214,Ford County,County
17,053,Dix township,20110,Ford County,County
17,053,Mona township,49919,Ford County,County
17,053,Patton township,58122,Ford County,County
17,127,Metropolis No. 4 precinct,92124,Massac County,County
17,123,Bell Plain township,04949,Marshall County,County
17,077,Carbondale township,11170,Jackson County,County
17,077,Degognia township,19148,Jackson County,County
17,077,Makanda township,46227,Jackson County,County
17,055,Barren township,03818,Franklin County,County
17,131,Rivoli township,64551,Mercer County,County
17,131,Suez township,73339,Mercer County,County
17,131,Richland Grove township,63628,Mercer County,County
17,027,St. Rose township,67171,Clinton County,County
17,097,Shields township,69485,Lake County,County
17,097,Wauconda township,79280,Lake County,County
17,097,Waukegan township,79306,Lake County,County
17,097,West Deerfield township,80112,Lake County,County
17,097,County subdivisions not defined,00000,Lake County,County
17,097,Fremont township,27923,Lake County,County
17,025,Louisville township,44940,Clay County,County
17,029,Paradise township,57615,Coles County,County
17,023,Melrose township,48229,Clark County,County
17,023,Parker township,57667,Clark County,County
17,023,Wabash township,78279,Clark County,County
17,023,York township,83934,Clark County,County
17,029,Seven Hickory township,68718,Coles County,County
17,047,Bone Gap precinct,90486,Edwards County,County
17,047,Ellery precinct,91152,Edwards County,County
17,047,Salem No. 2 precinct,93084,Edwards County,County
17,053,Peach Orchard township,58317,Ford County,County
17,053,Pella township,58512,Ford County,County
17,053,Rogers township,65273,Ford County,County
17,053,Sullivant township,73521,Ford County,County
17,053,Wall township,78474,Ford County,County
17,055,Ewing township,24686,Franklin County,County
17,055,Six Mile township,70070,Franklin County,County
17,055,Cave township,11813,Franklin County,County
17,097,Antioch township,01608,Lake County,County
17,097,Avon township,03220,Lake County,County
17,097,Cuba township,18004,Lake County,County
17,097,Grant township,30952,Lake County,County
17,083,Ruyle township,66482,Jersey County,County
17,093,Kendall township,39454,Kendall County,County
17,093,Oswego township,56900,Kendall County,County
17,027,Breese township,07926,Clinton County,County
17,027,Brookside township,08732,Clinton County,County
17,027,East Fork township,21748,Clinton County,County
17,027,Irishtown township,37673,Clinton County,County
17,091,Salina township,67262,Kankakee County,County
17,091,Yellowhead township,83856,Kankakee County,County
17,135,Grisham township,31836,Montgomery County,County
17,135,Harvel township,33370,Montgomery County,County
17,021,Assumption township,02622,Christian County,County
17,021,Bear Creek township,04325,Christian County,County
17,097,Lake Villa township,41599,Lake County,County
17,021,Buckhart township,09239,Christian County,County
17,021,Greenwood township,31641,Christian County,County
17,129,Athens North No. 2 precinct,90256,Menard County,County
17,129,Athens South No. 1 precinct,90262,Menard County,County
17,097,Libertyville township,43263,Lake County,County
17,097,Newport township,52753,Lake County,County
17,055,Browning township,08940,Franklin County,County
17,027,Wade township,78344,Clinton County,County
17,027,Wheatfield township,80996,Clinton County,County
17,027,Germantown township,29054,Clinton County,County
17,027,Looking Glass township,44667,Clinton County,County
17,061,Carrollton township,11475,Greene County,County
17,061,Patterson township,58096,Greene County,County
17,061,Woodville township,83401,Greene County,County
17,047,Dixon precinct,90954,Edwards County,County
17,047,Shelby No. 1 precinct,93153,Edwards County,County
17,135,Hillsboro township,35060,Montgomery County,County
17,135,Pitman township,60183,Montgomery County,County
17,135,South Litchfield township,70928,Montgomery County,County
17,135,Walshville township,78669,Montgomery County,County
17,097,Benton township,05326,Lake County,County
17,097,Ela township,22853,Lake County,County
17,021,Johnson township,38492,Christian County,County
17,021,Mosquito township,50686,Christian County,County
17,021,Pana township,57485,Christian County,County
17,021,Prairieton township,61730,Christian County,County
17,021,Ricks township,63797,Christian County,County
17,129,Atterberry No. 10 precinct,90270,Menard County,County
17,107,Atlanta township,02765,Logan County,County
17,107,Broadwell township,08485,Logan County,County
17,011,Arispie township,02076,Bureau County,County
17,011,Berlin township,05430,Bureau County,County
17,011,Bureau township,09668,Bureau County,County
17,011,Clarion township,14598,Bureau County,County
17,135,Witt township,82738,Montgomery County,County
17,135,Zanesville township,84129,Montgomery County,County
17,135,Bois D'Arc township,07107,Montgomery County,County
17,135,Irving township,37751,Montgomery County,County
17,135,Rountree township,66092,Montgomery County,County
17,151,Eddyville No. 6 precinct,91116,Pope County,County
17,065,Beaver Creek township,04481,Hamilton County,County
17,145,Du Quoin No. 3 precinct,91012,Perry County,County
17,145,Du Quoin No. 4 precinct,91013,Perry County,County
17,145,Du Quoin No. 5 precinct,91014,Perry County,County
