COUSUBFP,Label_merged
37881,In the Pipeline
72013,In the Pipeline
83310,In the Pipeline
37140,In the Pipeline
30939,In the Pipeline
17705,Current Clients
18550,Current Clients
28209,Current Clients
74535,Current Clients
43107,Current Clients
79904,Current Clients
81321,Current Clients
06301,In the Pipeline
46162,In the Pipeline
14260,In the Pipeline
51583,In the Pipeline
56068,In the Pipeline
00204,In the Pipeline
56224,In the Pipeline
63576,In the Pipeline
08316,Current Clients
80749,Current Clients
59247,In the Pipeline
68692,In the Pipeline
71110,In the Pipeline
76238,In the Pipeline
77096,In the Pipeline
78487,In the Pipeline
78682,In the Pipeline
78682,In the Pipeline
34527,In the Pipeline
51219,In the Pipeline
19096,In the Pipeline
31914,In the Pipeline
08784,Current Clients
30718,Current Clients
43549,Current Clients
56504,Current Clients
59975,Current Clients
83492,Current Clients
03246,Current Clients
06639,Current Clients
21566,Current Clients
33422,Current Clients
39688,Current Clients
70863,Current Clients
12411,Current Clients
18121,Current Clients
51076,In the Pipeline
51076,In the Pipeline
36139,In the Pipeline
34189,Current Clients
66963,Current Clients
09057,In the Pipeline
27845,In the Pipeline
66456,In the Pipeline
45291,In the Pipeline
61262,In the Pipeline
10435,In the Pipeline
82504,In the Pipeline
07627,In the Pipeline
31940,In the Pipeline
00763,In the Pipeline
08583,In the Pipeline
18784,In the Pipeline
19980,In the Pipeline
21436,In the Pipeline
21527,In the Pipeline
22424,In the Pipeline
25284,In the Pipeline
25583,In the Pipeline
30744,In the Pipeline
77070,In the Pipeline
36100,In the Pipeline
42197,In the Pipeline
46448,In the Pipeline
48346,In the Pipeline
48463,In the Pipeline
49204,In the Pipeline
49646,In the Pipeline
54248,In the Pipeline
56731,In the Pipeline
56939,In the Pipeline
56965,In the Pipeline
72553,In the Pipeline
74483,In the Pipeline
76758,In the Pipeline
