Label,State,County,Township
Current Clients,ILLINOIS,Cook County,Barrington
Current Clients,ILLINOIS,Cook County,Palatine
Current Clients,ILLINOIS,Cook County,Wheeling
Current Clients,ILLINOIS,Cook County,Northfield
Current Clients,ILLINOIS,Cook County,Hanover
Current Clients,ILLINOIS,Cook County,Schaumburg
Current Clients,ILLINOIS,DuPage County,Wayne
Current Clients,ILLINOIS,DuPage County,York
Current Clients,ILLINOIS,DuPage County,Downers Grove
Current Clients,ILLINOIS,Lake County,Shields
Current Clients,ILLINOIS,Lake County,Vernon
Current Clients,ILLINOIS,Kane County,Geneva
Current Clients,ILLINOIS,Ogle County,
Current Clients,ILLINOIS,Champaign County,
Current Clients,ILLINOIS,Peoria County,
Current Clients,ILLINOIS,McLean County,
In the Pipeline,ILLINOIS,Kane County,St Charles
In the Pipeline,ILLINOIS,Winnebago County,
In the Pipeline,ILLINOIS,Cook County,Elk Grove
In the Pipeline,ILLINOIS,Macon County,
In the Pipeline,ILLINOIS,Madison County,
In the Pipeline,ILLINOIS,DuPage County,Addison
In the Pipeline,ILLINOIS,Boone County,
In the Pipeline,ILLINOIS,LaSalle County,
In the Pipeline,ILLINOIS,Tazewell County,
In the Pipeline,ILLINOIS,Sangamon County,
In the Pipeline,ILLINOIS,Lake County,West Deerfield
In the Pipeline,ILLINOIS,Kane County,Dundee
In the Pipeline,ILLINOIS,Rock Island County,
In the Pipeline,ILLINOIS,McHenry County,Nunda
In the Pipeline,ILLINOIS,McHenry County,Algonquin
In the Pipeline,ILLINOIS,Cook County,Niles
In the Pipeline,ILLINOIS,DuPage County,Lisle
In the Pipeline,ILLINOIS,Will County,Troy
In the Pipeline,ILLINOIS,Kendall County,
In the Pipeline,ILLINOIS,Knox County,
In the Pipeline,ILLINOIS,Whiteside County,
In the Pipeline,ILLINOIS,DuPage County,Naperville
