COUSUBFP,NAMELSAD,Place Name,Label
61522,Prairie township,Shelby County,None
63615,Richland township,Shelby County,None
63836,Ridge township,Shelby County,None
65637,Rose township,Shelby County,None
66313,Rural township,Shelby County,None
55119,Oblong township,Crawford County,None
61470,Prairie township,Crawford County,None
47202,Martin township,Crawford County,None
69199,Shelbyville township,Shelby County,None
69927,Sigel township,Shelby County,None
75861,Tower Hill township,Shelby County,None
47124,Marrowbone township,Moultrie County,None
92605,Precinct 12,Monroe County,None
45057,Lovington township,Moultrie County,None
59013,Peoria City township,Peoria County,None
81451,Whitley township,Moultrie County,None
2928,Auburn township,Sangamon County,In the Pipeline
3506,Ball township,Sangamon County,In the Pipeline
9486,Buffalo Hart township,Sangamon County,In the Pipeline
11046,Capital township,Sangamon County,In the Pipeline
11579,Cartwright township,Sangamon County,In the Pipeline
12697,Chatham township,Sangamon County,In the Pipeline
16223,Cooper township,Sangamon County,None
41976,Lanesville township,Sangamon County,In the Pipeline
20058,Divernon township,Sangamon County,In the Pipeline
37881,Island Grove township,Sangamon County,None
44186,Loami township,Sangamon County,In the Pipeline
47618,Maxwell township,Sangamon County,In the Pipeline
48034,Mechanicsburg township,Sangamon County,In the Pipeline
52181,New Berlin township,Sangamon County,In the Pipeline
72013,Springfield township,Sangamon County,None
74340,Talkington township,Sangamon County,In the Pipeline
81776,Williams township,Sangamon County,In the Pipeline
83310,Woodside township,Sangamon County,None
37140,Illiopolis township,Sangamon County,None
64772,Rochester township,Sangamon County,In the Pipeline
60898,Point Pleasant township,Warren County,None
73716,Sumner township,Warren County,None
75692,Tompkins township,Warren County,None
6145,Bishop township,Effingham County,None
20474,Douglas township,Effingham County,None
38063,Jackson township,Effingham County,None
45161,Lucas township,Effingham County,None
47462,Mason township,Effingham County,None
49763,Moccasin township,Effingham County,None
50725,Mound township,Effingham County,None
66807,St. Francis township,Effingham County,None
73651,Summit township,Effingham County,None
74756,Teutopolis township,Effingham County,None
76654,Union township,Effingham County,None
79254,Watson township,Effingham County,None
39012,Kansas township,Woodford County,None
43159,Liberty township,Effingham County,None
15144,Clyde township,Whiteside County,In the Pipeline
38700,Jordan township,Whiteside County,In the Pipeline
12463,Chandlerville township,Cass County,None
67600,Sangamon Valley township,Cass County,None
67652,Santa Fe township,Clinton County,None
11696,Cass township,Fulton County,None
72773,Stockland township,Iroquois County,None
17653,Crooked Creek township,Jasper County,None
65494,Roodhouse township,Greene County,None
21306,Durham township,Hancock County,None
66235,Rubicon township,Greene County,None
10968,Canteen township,St. Clair County,None
24205,Engelmann township,St. Clair County,None
